label,N_min,N_max,N_mean,N_std,P_min,P_max,P_mean,P_std,K_min,K_max,K_mean,K_std,temperature_min,temperature_max,temperature_mean,temperature_std,humidity_min,humidity_max,humidity_mean,humidity_std,ph_min,ph_max,ph_mean,ph_std,rainfall_min,rainfall_max,rainfall_mean,rainfall_std
apple,0,40,20.8,11.863704090522265,120,145,134.22,8.139664699122521,195,205,199.89,3.3208706415911147,21.0365275,23.99686172,22.6309424132,0.8274035169796877,90.02575116,94.92048112,92.3333828756,1.4585509882538157,5.514253142,6.4992268210000015,5.929662931809999,0.2689315829516953,100.1173443,124.9831618,112.654779275,7.102985390718063
banana,80,120,100.23,11.107241245278152,70,95,82.01,7.690338947752121,45,55,50.05,3.3825906036526487,25.01018457,29.90888522,27.3767983057,1.4283590211848072,75.03193255,84.97849241,80.35812258109999,2.8054808335375028,5.505393832999999,6.490074429,5.98389318024,0.2706498328196708,90.10978128,119.84797,104.6269804001,9.398149573198245
blackgram,20,60,40.02,12.664258144219671,55,80,67.47,7.151258983598975,15,25,19.24,3.1881092208455484,25.09737391,34.9466155,29.9733396789,2.686357356937957,60.06534859,69.96100028,65.1184255887,2.7983263355658288,6.500144962,7.775306272000001,7.13395162948,0.37253325552504263,60.41790253,74.91559514,67.8841511832,4.184185689548155
chickpea,20,60,40.09,12.150649481747172,55,80,67.79,7.4985453134712605,75,85,79.92,3.2619012860600214,17.02498456,20.99502153,18.8728467519,1.169837791437324,14.25803981,19.96978871,16.8604394237,1.7119785494336006,5.988992796000002,8.868741443,7.33695662374,0.8011267975987482,65.11365631,94.78189594,80.0589772605,7.94434998936993
coconut,0,40,21.98,11.761931401901231,5,30,16.93,8.357244483293245,25,35,30.59,2.9986360535780556,25.00872392,29.8690834,27.4098921723,1.385734451504842,90.01734526,99.98187601,94.84427180610001,2.68632902746591,5.50158009,6.470465614,5.97656212619,0.2876324408982468,131.09000759999998,225.6323656,175.686645804,29.47233260418663
coffee,80,120,101.2,12.345203133364812,15,40,28.74,7.276112848342733,25,35,29.94,3.2468166227580797,23.05951896,27.92374437,25.5404768193,1.5026350758507534,50.04557009,69.94807345,58.8698463003,5.838565891159534,6.020947179,7.493191968,6.79030827457,0.4171324702056587,115.1564012,199.4735636,158.066294882,25.695085695484728
cotton,100,140,117.77,11.628817392125221,35,60,46.24,7.348634175302527,15,25,19.56,3.169679587413952,22.00085141,25.99237426,23.988957895200002,1.135681479912332,75.00539324,84.87668973,79.8434742538,3.050955248540687,5.801047545,7.994679507000001,6.91267549578,0.6271695156348296,60.65381719,99.93100821,80.3980431193,11.23181151920292
grapes,0,40,23.18,12.466828713903878,120,145,132.53,7.619028544348416,195,205,200.11,3.265661564606084,8.825674745,41.94865736,23.849575120049998,9.73864872199479,80.01639435,83.98351748,81.8752275212,1.1771112497394787,5.510924848999999,6.499604931,6.025936681099999,0.29826543594476995,65.01095312,74.91506217,69.611828886,2.9517589946366782
jute,60,100,78.4,10.968273806895521,35,60,46.86,7.195705790134964,35,45,39.99,3.313562579716425,23.09433785,26.98582182,24.9583758265,1.1851383113439444,70.88259632,89.89106506,79.6398642063,5.50779761705286,6.002524871,7.4880144039999985,6.7327775681699995,0.4463492309437702,150.2355238,199.83629130000003,174.792797536,15.0783671484433
kidneybeans,0,40,20.75,10.834265694144348,55,80,67.54,7.571104025280338,15,25,20.05,3.10221491417622,15.33042636,24.92360104,20.1150846851,2.599572540490127,18.09224048,24.96969858,21.6053567295,2.1673233613639007,5.502999119,5.99812453,5.749410585870001,0.14521966486306642,60.27552528,149.7441028,105.91977754210001,26.11138437407174
lentil,0,40,18.77,12.19691549018634,55,80,68.36,7.335426698460345,15,25,19.41,2.9681644159311658,18.06486101,29.94413861,24.509052402600002,3.3209846940816767,60.09116626,69.92375891,64.8047846785,2.935461070817441,5.91645379,7.841496029,6.927931571609999,0.5492655929922285,35.03484812,54.93937710000001,45.680454204,5.632972174585819
maize,60,100,77.76,11.94948965564233,35,60,48.44,8.010498162291832,15,25,19.79,2.9415003386748473,18.04185513,26.54986394,22.3892039102,2.6793596607331773,55.28220433,74.82913698,65.0922494467,5.4486985976651825,5.513697923,6.995843776,6.2451897224,0.41268128727999803,60.65171481,109.7515385,84.766987663,15.547338717845903
mango,0,40,20.07,12.329036925695027,15,40,27.18,7.663873008795845,25,35,29.92,3.0966909677097183,27.00315545,35.99009679,31.2087701513,2.6538577400873633,45.02236377,54.9640534,50.1565726953,2.7562849325094296,4.507523551,6.9674177660000005,5.766372799660001,0.7036545661204942,89.29147581,100.8124659,94.70451504479999,3.3385773290258567
mothbeans,0,40,21.44,11.343417973130114,35,60,48.01,7.547151446042072,15,25,20.23,3.047950130825633,24.01825377,31.99928579,28.1949204842,2.2096653967238105,40.00933429,64.95585424,53.16041802790001,6.994600415359222,3.504752314,9.93509073,6.83117408269,1.8621628667627967,30.92014047,74.44330654,51.198487045700006,13.750692670967245
mungbean,0,40,20.99,11.510640663527312,35,60,47.28,7.8702611202557975,15,25,19.87,3.148368184031566,27.01470397,29.914544300000006,28.5257747353,0.8415457499666631,80.03499648,89.99615558,85.49997454300001,2.8513562351210244,6.218923893,7.199495367999999,6.72395694037,0.28657442166380453,36.12042927,59.87232071,48.403600902899996,7.117214164349768
muskmelon,80,120,100.32,12.176214601435127,5,30,17.72,7.187362646908936,45,55,50.08,3.218256005536494,27.02415146,29.94349168,28.663065756,0.8612952828347412,90.01506395,94.96218673,92.34280196089999,1.5051167915529067,6.002927293,6.781050372999999,6.35880545179,0.23152301869780662,20.21126747,29.86681385,24.689952066,2.773999240744889
orange,0,40,19.58,11.941930202848157,5,30,16.55,7.69149471228388,5,15,10.01,3.0566866593312003,10.01081312,34.90665289,22.7657254967,7.342534865875135,90.00621688,94.96419851,92.17020876340001,1.4303425271320123,6.010391864,7.995848977,7.01695745276,0.576320979011226,100.1737964,119.6946577,110.47496871999999,5.717125230460409
papaya,31,70,49.88,12.219606699022185,46,70,59.05,7.057305119913376,45,55,50.04,3.0974737181037444,23.012401800000006,43.67549305,33.7238587388,6.2630221617475685,90.03863107,94.94482086,92.4033876826,1.4204458059328475,6.501521192,6.993473247000001,6.74144237274,0.14735058833009002,40.35153141,248.8592986,142.6278388629,64.39657725138785
pigeonpeas,0,40,20.73,11.849949921046635,55,80,67.73,7.294463100132313,15,25,20.29,2.8151645627123663,18.31910448,36.97794384,27.7417622259,5.715681957316527,30.40046769,69.69141302,48.0616330847,10.963658698382263,4.548202098,7.445444882999999,5.794174879790001,0.8302739883761486,90.05422663,198.8298806,149.4575638135,32.98632092744226
pomegranate,0,40,18.87,12.617652377330398,5,30,18.75,7.387369783842712,35,45,40.21,3.0328004859994966,18.07132963,24.96273236,21.837841721999997,2.206355498555087,85.12912161,94.99897537,90.1255037895,2.8257064867979818,5.561851831,7.199504273,6.4291718411700005,0.49150867444687557,102.5184759,112.4750941,107.52844239699999,2.895339202907167
rice,60,99,79.89,11.917981491355107,35,60,47.58,7.904965834744946,35,45,39.87,2.9461668299502297,20.0454142,26.92995077,23.6893322105,2.0312719543716655,80.12267476,84.96907151,82.2728215389,1.4183811592213098,5.005306977,7.868474653,6.425470922140001,0.7686920011810565,182.5616319,298.5601175,236.181113594,34.29182459221108
watermelon,80,120,99.42,12.565127307052016,5,30,17.0,7.535773270731995,45,55,50.22,3.2646870934565557,24.04355803,26.98603693,25.591767237499997,0.8501244760334952,80.02621335,89.98405233,85.16037529360001,2.9566030977788893,6.000975617000001,6.956508826,6.49577830157,0.2814196545897993,40.12650421,59.75980023,50.7862189449,5.867006297410035
